_id,school,degree,startDate,endDate,type,inProgress,cv,createdAt,updatedAt,__v,endMonth,endYear,startMonth,startYear,description
66eaac1c59f552ae11a095da,SENA,Diplomado en marketing digital,Septiembre 2015,,Diploma,False,66b9789d1f38bd5f50205458,2024-09-18 10:31:56.455,2024-09-18 10:31:56.455,0,,,,,
66eaac1c59f552ae11a095d9,Univ. Autónoma del Caribe,Profesional en Diseño Gráfico,2011,2015,Bachelor,False,66b9789d1f38bd5f50205458,2024-09-18 10:31:56.455,2024-10-28 03:02:40.884,0,5.0,2023.0,6.0,2019.0,
66eaac1c59f552ae11a095db,Escuela de tecnologías DEXT,Curso de producción y animación Motion Graphic,Mayo 2018,Junio 2018,Certificate,False,66b9789d1f38bd5f50205458,2024-09-18 10:31:56.455,2024-09-18 10:31:56.455,0,,,,,
66eaac1c59f552ae11a095dc,Instituto Toulouse Lautrec,Diploma en UX &UI,2019,2020,Diploma,False,66b9789d1f38bd5f50205458,2024-09-18 10:31:56.455,2024-09-18 10:31:56.455,0,,,,,
66eaac1c59f552ae11a095ee,Universidad Nacional Mayor de San Marcos,Bachiller en Ingeniería de Software,Febrero de 2022,,Bachelor,False,66b97e3a1f38bd5f50205494,2024-09-18 10:31:56.977,2024-09-18 10:31:56.977,0,,,,,
66eaac1e59f552ae11a0960a,Universidad de Ingeniería y Tecnología (UTEC),Ciencias de la Computación,Marzo 2022,Actualidad,Bachelor,False,66b983401f38bd5f50205589,2024-09-18 10:31:58.537,2024-09-18 10:31:58.537,0,,,,,
66eaac1e59f552ae11a09609,Instutito Zegel Ipae,Sistemas de Información,Marzo 2021,Junio 2021,Certificate,False,66b983401f38bd5f50205589,2024-09-18 10:31:58.537,2024-09-18 10:31:58.537,0,,,,,
66eaac2159f552ae11a09663,Pontificia Universidad Católica del Perú,Bachiller en Arte con mención en Diseño Gráfico,2017,2022,Bachelor,False,66b9a68a7f17c490ad1953a0,2024-09-18 10:32:01.980,2024-09-18 10:32:01.980,0,,,,,
66eaac2159f552ae11a09669,Digital Marketing Basics,,2020,,,False,66b9a68a7f17c490ad1953a0,2024-09-18 10:32:01.980,2024-09-18 10:32:01.980,0,,,,,
66eaac2159f552ae11a09665,Mug Studio Design,,2021,Actualidad,,False,66b9a68a7f17c490ad1953a0,2024-09-18 10:32:01.980,2024-09-18 10:32:01.980,0,,,,,
66eaac2159f552ae11a09668,Fotografía,,2018,,,False,66b9a68a7f17c490ad1953a0,2024-09-18 10:32:01.980,2024-09-18 10:32:01.980,0,,,,,
66eaac2159f552ae11a09667,Motion Design,,2024,En curso,,False,66b9a68a7f17c490ad1953a0,2024-09-18 10:32:01.980,2024-09-18 10:32:01.980,0,,,,,
66eaac2159f552ae11a09666,PUENTE,,2022,Actualidad,,False,66b9a68a7f17c490ad1953a0,2024-09-18 10:32:01.980,2024-09-18 10:32:01.980,0,,,,,
66eaac2159f552ae11a09664,Facultad de Artes Escénicas PUCP,,2022,2023,,False,66b9a68a7f17c490ad1953a0,2024-09-18 10:32:01.980,2024-09-18 10:32:01.980,0,,,,,
66eaac2259f552ae11a0967a,Interface Sculptor's School,Design Systems in Figma,N/A,N/A,Certificate,False,66b9b5641e046507d5c77c0c,2024-09-18 10:32:02.501,2024-10-06 20:01:04.065,0,,,,,
66eaac2259f552ae11a0967c,Designership,Figma Masterclass course,N/A,N/A,Certificate,False,66b9b5641e046507d5c77c0c,2024-09-18 10:32:02.501,2024-09-18 10:32:02.501,0,,,,,
66eaac2259f552ae11a0967f,FreeCodeCamp,Responsive Web Design HTML & CSS,N/A,N/A,Certificate,False,66b9b5641e046507d5c77c0c,2024-09-18 10:32:02.501,2024-09-18 10:32:02.501,0,,,,,
66eaac2259f552ae11a0967b,leonidasesteban.com,Introducción al desarrollo web,N/A,N/A,Certificate,False,66b9b5641e046507d5c77c0c,2024-09-18 10:32:02.501,2024-09-18 10:32:02.501,0,,,,,
66eaac2259f552ae11a0967e,Udemy,Diseño de Interfaz avanzado,N/A,N/A,Certificate,False,66b9b5641e046507d5c77c0c,2024-09-18 10:32:02.501,2024-09-18 10:32:02.501,0,,,,,
66eaac2259f552ae11a09680,EDteam,UI Design,N/A,N/A,Certificate,False,66b9b5641e046507d5c77c0c,2024-09-18 10:32:02.501,2024-09-18 10:32:02.501,0,,,,,
66eaac2259f552ae11a0967d,LinkedIn,Web & Mobile Designer,N/A,N/A,Certificate,False,66b9b5641e046507d5c77c0c,2024-09-18 10:32:02.501,2024-09-18 10:32:02.501,0,,,,,
66eaac2259f552ae11a09681,Platzi,Fundamentos de diseño,N/A,N/A,Certificate,False,66b9b5641e046507d5c77c0c,2024-09-18 10:32:02.501,2024-09-18 10:32:02.501,0,,,,,
66eaac2359f552ae11a09694,Universitat Oberta de Catalunya,MÁSTER IN USER EXPERIENCE AND INTERACTION DESIGN,,,Master,False,66b9e263db5c98b2ee73e351,2024-09-18 10:32:03.198,2024-09-22 01:02:02.876,0,,,,,
66eaac2359f552ae11a09697,Glassbox,TRAINING WORKSHOP,,,Certificate,False,66b9e263db5c98b2ee73e351,2024-09-18 10:32:03.198,2024-09-18 10:32:03.198,0,,,,,
66eaac2359f552ae11a09696,Platzi,COURSE PRODUCT MANAGEMENT,,,Certificate,False,66b9e263db5c98b2ee73e351,2024-09-18 10:32:03.198,2024-09-18 10:32:03.198,0,,,,,
66eaac2359f552ae11a09695,Universidad de Investigación y Desarrollo UDI,BACHELOR ́S DEGREE IN PUBLICITY,,,Bachelor,False,66b9e263db5c98b2ee73e351,2024-09-18 10:32:03.198,2024-09-18 10:32:03.198,0,,,,,
66eaac2459f552ae11a096dc,Universidad científica del sur ,Biología Marina ,2018,2024,Bachelor,False,66ba1b5bdb5c98b2ee73e5b0,2024-09-18 10:32:04.579,2024-09-18 10:32:04.579,0,,,,,
66eaac2459f552ae11a096df,SOA PERÚ ,Organización de SOA La Academia Latinoamericana ,2020,2020,Certificate,False,66ba1b5bdb5c98b2ee73e5b0,2024-09-18 10:32:04.579,2024-09-18 10:32:04.579,0,,,,,
66eaac2459f552ae11a096de,Universidad científica del sur ,Curso de redacción Científica ,2020,2020,Certificate,False,66ba1b5bdb5c98b2ee73e5b0,2024-09-18 10:32:04.579,2024-09-18 10:32:04.579,0,,,,,
66eaac2459f552ae11a096e0,IEP GUILLERMO SHAKESPEARE ,Estudiante ,2010,2017,Other,False,66ba1b5bdb5c98b2ee73e5b0,2024-09-18 10:32:04.579,2024-09-18 10:32:04.579,0,,,,,
66eaac2459f552ae11a096dd,Latinoamérica Azul & Immersed In Change ,Participante ,2024,2024,Certificate,False,66ba1b5bdb5c98b2ee73e5b0,2024-09-18 10:32:04.579,2024-09-18 10:32:04.579,0,,,,,
66eaac2559f552ae11a09703,Universidad Científica del Sur,Ingeniería  Económica y de Negocios (Tercio superior) ,Agosto 2021,Agosto 2026,Bachelor,False,66ba1b6cdb5c98b2ee73e5f0,2024-09-18 10:32:05.280,2024-09-18 10:32:05.280,0,,,,,
66eaac2659f552ae11a0972a,Instituto Sise,Especialista en Excel,24/02/2024,06/04/2024,Certificate,False,66ba1b72db5c98b2ee73e5fc,2024-09-18 10:32:06.822,2024-09-18 10:32:06.822,0,,,,,
66eaac2759f552ae11a09740,Instituto europeo de posgrado,Design Thinking,Junio 2024,,Certificate,False,66ba1b80db5c98b2ee73e628,2024-09-18 10:32:07.670,2024-09-18 10:32:07.670,0,,,,,
66eaac2759f552ae11a0973f,GECAP,Gestión de almacén e inventario | Gestión de importación y exportación aduanera,Julio 2024,Actualmente,Certificate,False,66ba1b80db5c98b2ee73e628,2024-09-18 10:32:07.670,2024-09-18 10:32:07.670,0,,,,,
66eaac2759f552ae11a0973e,Universidad Científica del Sur (Perú),Administración de Negocios Internacionales (Media superior),Marzo del 2021,Actualmente,Bachelor,False,66ba1b80db5c98b2ee73e628,2024-09-18 10:32:07.670,2024-09-18 10:32:07.670,0,,,,,
66eaac2759f552ae11a09741,Ferreycorp,Impulsando talento con valores,Julio 2024,,Certificate,False,66ba1b80db5c98b2ee73e628,2024-09-18 10:32:07.670,2024-09-18 10:32:07.670,0,,,,,
66eaac2859f552ae11a0975b,Universidad cientifica del sur,Ingenieria economica y de negocios,2021,2026,Bachelor,False,66ba1b85db5c98b2ee73e640,2024-09-18 10:32:08.357,2024-09-18 10:32:08.357,0,,,,,
66eaac2959f552ae11a0976a,NETZUN,CEO,,,Other,False,66ba1b85db5c98b2ee73e642,2024-09-18 10:32:09.028,2024-09-18 10:32:09.028,0,,,,,
66eaac2959f552ae11a0976b,NETZUN,COO,,,Other,False,66ba1b85db5c98b2ee73e642,2024-09-18 10:32:09.028,2024-09-18 10:32:09.028,0,,,,,
66eaac2959f552ae11a0976e,NETZUN,Power BI Básico,22 de Diciembre del 2023,,Certificate,False,66ba1b85db5c98b2ee73e642,2024-09-18 10:32:09.028,2024-09-18 10:32:09.028,0,,,,,
66eaac2959f552ae11a0976c,NETZUN,PROFESOR,,,Other,False,66ba1b85db5c98b2ee73e642,2024-09-18 10:32:09.028,2024-09-18 10:32:09.028,0,,,,,
66eaac2959f552ae11a0976d,NETZUN,S.A.CÓDIGO: F80CD297,,,Other,False,66ba1b85db5c98b2ee73e642,2024-09-18 10:32:09.028,2024-09-18 10:32:09.028,0,,,,,
66eaac2959f552ae11a0977b,Universidad Científica del Sur,Ingeniería Empresarial y de Sistemas,03/2021,en curso,Bachelor,False,66ba1bc0db5c98b2ee73e6d2,2024-09-18 10:32:09.547,2024-09-18 10:32:09.547,0,,,,,
66eaac2959f552ae11a09780,Asociación Cultural Peruano Británica (Británico),Inglés,,,Certificate,False,66ba1bc0db5c98b2ee73e6d2,2024-09-18 10:32:09.547,2024-09-18 10:32:09.547,0,,,,,
66eaac2959f552ae11a0977e,SCRUMstudy,Scrum Fundamentals Certified,03/2022,,Certificate,False,66ba1bc0db5c98b2ee73e6d2,2024-09-18 10:32:09.547,2024-09-18 10:32:09.547,0,,,,,
66eaac2959f552ae11a09781,Centro Nacional de Administración Pública (CENAP),POWER BI - Ofimática Avanzada - Portugués Básico,,en curso,Certificate,False,66ba1bc0db5c98b2ee73e6d2,2024-09-18 10:32:09.548,2024-09-18 10:32:09.548,0,,,,,
66eaac2959f552ae11a0977c,Pontificia Universidad Católica del Perú,Curso de Capacitación SQL SERVER,02/2022,03/2022,Certificate,False,66ba1bc0db5c98b2ee73e6d2,2024-09-18 10:32:09.547,2024-09-18 10:32:09.547,0,,,,,
66eaac2959f552ae11a0977d,Instituto Europeo de Postgrado,Cursos,03/2022,,Other,False,66ba1bc0db5c98b2ee73e6d2,2024-09-18 10:32:09.547,2024-09-18 10:32:09.547,0,,,,,
66eaac2959f552ae11a0977f,Universidad Nacional Mayor de San Marcos,Microsoft Excel,2019,,Diploma,False,66ba1bc0db5c98b2ee73e6d2,2024-09-18 10:32:09.547,2024-09-18 10:32:09.547,0,,,,,
66eaac2a59f552ae11a09799,Universidad Científica del Sur,Ingeniería Empresarial y de Sistemas,03/2021,en curso,Bachelor,False,66ba1c0edb5c98b2ee73e856,2024-09-18 10:32:10.251,2024-09-18 10:32:10.251,0,,,,,
66eaac2a59f552ae11a0979a,Pontificia Universidad Católica del Perú,Curso de Capacitación Implementación de Base de Datos Primer Nivel SQL SERVER,02/2022,03/2022,Certificate,False,66ba1c0edb5c98b2ee73e856,2024-09-18 10:32:10.251,2024-09-18 10:32:10.251,0,,,,,
66eaac2a59f552ae11a0979b,Instituto Europeo de Postgrado,"Design Thinking, Método Harvard de Negociación, Social Media Marketing, Transformación Digital",03/2022,04/2022,Certificate,False,66ba1c0edb5c98b2ee73e856,2024-09-18 10:32:10.251,2024-09-18 10:32:10.251,0,,,,,
66eaac2a59f552ae11a097a0,Universidad Privada Peruano Alemana - UPAL,Data Analytics,07/2024,En curso,Certificate,False,66ba1c0edb5c98b2ee73e856,2024-09-18 10:32:10.251,2024-09-18 10:32:10.251,0,,,,,
66eaac2a59f552ae11a0979f,NETZUN,Power BI (Básico - Intermedio - Avanzado),10/2023,12/2023,Certificate,False,66ba1c0edb5c98b2ee73e856,2024-09-18 10:32:10.251,2024-09-18 10:32:10.251,0,,,,,
66eaac2a59f552ae11a0979c,SCRUMstudy - Organismo de Acreditación para Scrum y Agil,Scrum Fundamentals Certified,03/2022,04/2022,Certificate,False,66ba1c0edb5c98b2ee73e856,2024-09-18 10:32:10.251,2024-09-18 10:32:10.251,0,,,,,
66eaac2a59f552ae11a0979d,Universidad Nacional Mayor de San Marcos,Microsoft Excel,03/2019,07/2019,Diploma,False,66ba1c0edb5c98b2ee73e856,2024-09-18 10:32:10.251,2024-09-18 10:32:10.251,0,,,,,
66eaac2a59f552ae11a0979e,Asociación Cultural Peruano Británica (Británico),Inglés (Básico-Intermedio-Avanzado),2015,2019,Certificate,False,66ba1c0edb5c98b2ee73e856,2024-09-18 10:32:10.251,2024-09-18 10:32:10.251,0,,,,,
66eaac2b59f552ae11a097cd,Universidad Científica del Sur,Psicología ,2021,2025,Bachelor,False,66ba1c2ddb5c98b2ee73e8f2,2024-09-18 10:32:11.992,2024-09-18 10:32:11.992,0,,,,,
66eaac2b59f552ae11a097d0,Institución Educativa San Agustin,Secundaria,07/03/2016,20/12/2017,Other,False,66ba1c2ddb5c98b2ee73e8f2,2024-09-18 10:32:11.992,2024-09-18 10:32:11.992,0,,,,,
66eaac2b59f552ae11a097ce,Britanico,Inglés Intermedio-Avanzado,03/04/2019,19/12/2021,Other,False,66ba1c2ddb5c98b2ee73e8f2,2024-09-18 10:32:11.992,2024-09-18 10:32:11.992,0,,,,,
66eaac2b59f552ae11a097d1,I.E.P Maria Reyna,Primaria,04/03/2010,22/12/2015,Other,False,66ba1c2ddb5c98b2ee73e8f2,2024-09-18 10:32:11.992,2024-09-18 10:32:11.992,0,,,,,
66eaac2b59f552ae11a097cf,Institución Educativa Matemática Santísima María,Secundaria,06/03/2018,21/12/2020,Other,False,66ba1c2ddb5c98b2ee73e8f2,2024-09-18 10:32:11.992,2024-09-18 10:32:11.992,0,,,,,
66eaac2c59f552ae11a097f0,UCSUR ,Administracion de empresas ,2021,2024,Bachelor,False,66ba1c2ddb5c98b2ee73e8f6,2024-09-18 10:32:12.686,2024-09-18 10:32:12.686,0,,,,,
66eaac2d59f552ae11a097fd,Universidad Científica del Sur ,Derecho ,2021,2026,Bachelor,False,66ba1c2edb5c98b2ee73e8fb,2024-09-18 10:32:13.353,2024-09-18 10:32:13.353,0,,,,,
66eaac2d59f552ae11a097fe,Marianne Frostig,Estudiante secundario,2014,2018,Other,False,66ba1c2edb5c98b2ee73e8fb,2024-09-18 10:32:13.353,2024-09-18 10:32:13.353,0,,,,,
66eaac2d59f552ae11a097ff,Marianne Frostig,Estudiante primario,2008,2013,Other,False,66ba1c2edb5c98b2ee73e8fb,2024-09-18 10:32:13.353,2024-09-18 10:32:13.353,0,,,,,
66eaac2d59f552ae11a09800,Britanico ,Estudiante de idomas ,2022,Actualmente,Other,False,66ba1c2edb5c98b2ee73e8fb,2024-09-18 10:32:13.353,2024-09-18 10:32:13.353,0,,,,,
66eaac2e59f552ae11a0981b,Científica del sur ,Estomatologia,2018,2024,Bachelor,False,66ba1c2edb5c98b2ee73e909,2024-09-18 10:32:14.037,2024-09-18 10:32:14.037,0,,,,,
66eaac2e59f552ae11a09820,Universidad Científica del Sur,Administración de Negocios Internacionales  - tercio superior,27-03-2021,20-12-2025,Bachelor,False,66ba1c30db5c98b2ee73e921,2024-09-18 10:32:14.539,2024-09-18 10:32:14.539,0,,,,,
66eaac2f59f552ae11a09839,"Universidad Científica del Sur (UCSUR) - ""Décimo Superior""",Administración de Negocios Internacionales ,01 / 03 / 2022,20 / 12 / 2026,Bachelor,False,66ba1c31db5c98b2ee73e92e,2024-09-18 10:32:15.213,2024-09-18 10:32:15.213,0,,,,,
66eaac2f59f552ae11a0984a,PUC MINAS ,Administração ,2023,2027,Bachelor,False,66ba1c31db5c98b2ee73e937,2024-09-18 10:32:15.892,2024-09-18 10:32:15.892,0,,,,,
66eaac2f59f552ae11a0984d,Lion School,Inglés,2018,2020,Diploma,False,66ba1c31db5c98b2ee73e937,2024-09-18 10:32:15.892,2024-09-18 10:32:15.892,0,,,,,
66eaac2f59f552ae11a0984b,Universidad Científica del Sur ,Administración de Empresas ,2024,2024,Bachelor,False,66ba1c31db5c98b2ee73e937,2024-09-18 10:32:15.892,2024-09-18 10:32:15.892,0,,,,,
66eaac2f59f552ae11a0984e,Lion School,Informática ,2018,2020,Diploma,False,66ba1c31db5c98b2ee73e937,2024-09-18 10:32:15.892,2024-09-18 10:32:15.892,0,,,,,
66eaac2f59f552ae11a0984c,Escola Estadual Doutor Edmundo Gouvea Cardillo,Técnico en Administración ,2020,2022,Diploma,False,66ba1c31db5c98b2ee73e937,2024-09-18 10:32:15.892,2024-09-18 10:32:15.892,0,,,,,
66eaac3059f552ae11a0987a,Universidad Científica del Sur,Facultad de Ciencias de la Salud. Psicología.,Marzo 2021,Actualmente ,Other,False,66ba1c35db5c98b2ee73e966,2024-09-18 10:32:16.760,2024-09-18 10:32:16.760,0,,,,,
66eaac3159f552ae11a09895,Pontificia Universidad Católica ,Administración de empresas ,2022,2025,Bachelor,False,66ba1c35db5c98b2ee73e96a,2024-09-18 10:32:17.446,2024-09-18 10:32:17.446,0,,,,,
66eaac3159f552ae11a09896,Universidad Científica del Sur ,Administración de empresas ,2022,2025,Bachelor,False,66ba1c35db5c98b2ee73e96a,2024-09-18 10:32:17.446,2024-09-18 10:32:17.446,0,,,,,
66eaac3159f552ae11a09897,Universidad Cooperativa de Colombia,liderazgo empresarial ,2024,2024,Certificate,False,66ba1c35db5c98b2ee73e96a,2024-09-18 10:32:17.446,2024-09-18 10:32:17.446,0,,,,,
66eaac3159f552ae11a09898,Pontificia Universidad Católica ,Power BI ,2023,2023,Certificate,False,66ba1c35db5c98b2ee73e96a,2024-09-18 10:32:17.446,2024-09-18 10:32:17.446,0,,,,,
66eaac3259f552ae11a098b6,Universidad Científica del Sur ,Marketing y administración ,26/08/2023,Actualmente ,Other,False,66ba1c37db5c98b2ee73e996,2024-09-18 10:32:18.137,2024-09-18 10:32:18.137,0,,,,,
66eaac3259f552ae11a098b7,INSTITUTO SISE ,Administración Bancaria ,2019,2023,Bachelor,False,66ba1c37db5c98b2ee73e996,2024-09-18 10:32:18.137,2024-09-18 10:32:18.137,0,,,,,
66eaac3259f552ae11a098d4,Universidad Científica del Sur,Derecho,2019,2025,Other,False,66ba1c39db5c98b2ee73e9b3,2024-09-18 10:32:18.822,2024-09-18 10:32:18.822,0,,,,,
66eaac3259f552ae11a098d3,Universidad Inca Garcilaso de la Vega,Quimica Farmaceutica y Bioquimica,2001,2006,Diploma,False,66ba1c39db5c98b2ee73e9b3,2024-09-18 10:32:18.822,2024-09-18 10:32:18.822,0,,,,,
66eaac3259f552ae11a098d5,LP DERECHO,Redacción Jurídica en tema Civil,Junio 2022,Julio 2022,Other,False,66ba1c39db5c98b2ee73e9b3,2024-09-18 10:32:18.822,2024-09-18 10:32:18.822,0,,,,,
66eaac3459f552ae11a098f2,Universidad Científica del Sur (UCSUR),Ingeniería Empresarial y de sistemas ,Agosto 2021,Presente,Bachelor,False,66ba1c3fdb5c98b2ee73ea02,2024-09-18 10:32:20.171,2024-09-18 10:32:20.171,0,,,,,
66eaac3459f552ae11a098f3,Univisa,Estudiante secundaria,Marzo 2020,Diciembre 2020,Diploma,False,66ba1c3fdb5c98b2ee73ea02,2024-09-18 10:32:20.171,2024-09-18 10:32:20.171,0,,,,,
66eaac3459f552ae11a098f4,I.E. Santiago Antunez de Mayolo,Estudiante secundaria ,2016,2019,Diploma,False,66ba1c3fdb5c98b2ee73ea02,2024-09-18 10:32:20.171,2024-09-18 10:32:20.171,0,,,,,
66eaac3559f552ae11a09912,Universidad Científica del Sur,Psicología ,2020,Actualidad,Bachelor,False,66ba1c4edb5c98b2ee73eace,2024-09-18 10:32:21.026,2024-09-18 10:32:21.026,0,,,,,
66eaac3559f552ae11a0992a,Universidad Cientifica del Sur,Psicologia,04/2022,07/2026,Bachelor,False,66ba1c59db5c98b2ee73ebb8,2024-09-18 10:32:21.878,2024-09-18 10:32:21.878,0,,,,,
66eaac3559f552ae11a0992c,ICPNA,Metodology for EFL teachers,02/2023,02/2024,Certificate,False,66ba1c59db5c98b2ee73ebb8,2024-09-18 10:32:21.878,2024-09-18 10:32:21.878,0,,,,,
66eaac3559f552ae11a0992b,ICPNA,Ingles Avanzado,06/2016,12/2022,Certificate,False,66ba1c59db5c98b2ee73ebb8,2024-09-18 10:32:21.878,2024-09-18 10:32:21.878,0,,,,,
66eaac3659f552ae11a0993d,Universidad Científica del Sur,Arquitectura y Urbanismo Ambiental ,Enero 2022,Hasta la fecha,Bachelor,False,66ba1c60db5c98b2ee73ec27,2024-09-18 10:32:22.556,2024-09-18 10:32:22.556,0,,,,,
66eaac3659f552ae11a09940,Grupo Galk,Diagramación de Paneles,Julio 2024,Agosto 2024,Diploma,False,66ba1c60db5c98b2ee73ec27,2024-09-18 10:32:22.556,2024-09-18 10:32:22.556,0,,,,,
66eaac3659f552ae11a0993f,Trazzo Visual,Adobe Photoshop,Enero 2024,Febrero 2024,Diploma,False,66ba1c60db5c98b2ee73ec27,2024-09-18 10:32:22.556,2024-09-18 10:32:22.556,0,,,,,
66eaac3659f552ae11a0993e,Asociación Cultural Peruano Británica,Inglés Británico Avanzado,Enero 2020,Hasta la fecha,Certificate,False,66ba1c60db5c98b2ee73ec27,2024-09-18 10:32:22.556,2024-09-18 10:32:22.556,0,,,,,
66eaac3659f552ae11a09941,Universidad Científica del Sur,Gestión de Proyectos Sostenibles,Agosto 2024,Hasta la fecha,Certificate,False,66ba1c60db5c98b2ee73ec27,2024-09-18 10:32:22.556,2024-09-18 10:32:22.556,0,,,,,
66eaac3759f552ae11a09963,Colegio Cristo Redentor,Primaria y secundaria completa ,10/03/2009,20/12/2020,Other,False,66ba1c6ddb5c98b2ee73ed0f,2024-09-18 10:32:23.248,2024-09-18 10:32:23.248,0,,,,,
66eaac3759f552ae11a09962,Universidad Cientifica del Sur ,Arquitectura y Urbanismo Ambiental ,9/4/2021,10/4/2026,Bachelor,False,66ba1c6ddb5c98b2ee73ed0f,2024-09-18 10:32:23.248,2024-09-18 10:32:23.248,0,,,,,
66eaac3759f552ae11a0997b,Universidad Científica del Sur,Derecho,2021,Actualidad,Bachelor,False,66ba1c7bdb5c98b2ee73ede5,2024-09-18 10:32:23.937,2024-09-18 10:32:23.937,0,,,,,
66eaac3759f552ae11a0997c,APECC,Gestión pública y contrataciones con el estado ,Sept 2020,Nov 2020,Diploma,False,66ba1c7bdb5c98b2ee73ede5,2024-09-18 10:32:23.937,2024-09-18 10:32:23.937,0,,,,,
66eaac3759f552ae11a0997f,APECC,"Derecho penal, parte general y parte especial con mención en lavado de activos, narcotráfico, extinción de dominio y compliance",Sept 2020,Nov 2020,Diploma,False,66ba1c7bdb5c98b2ee73ede5,2024-09-18 10:32:23.937,2024-09-18 10:32:23.937,0,,,,,
66eaac3759f552ae11a0997e,LP PASION POR EL DERECHO,Código procesal civil y litigación oral,Abr 2021,Jun 2021,Diploma,False,66ba1c7bdb5c98b2ee73ede5,2024-09-18 10:32:23.937,2024-09-18 10:32:23.937,0,,,,,
66eaac3759f552ae11a0997d,LP PASION POR EL DERECHO,"Violencia familiar, de género y delitos sexuales",May 2021,Jul 2021,Diploma,False,66ba1c7bdb5c98b2ee73ede5,2024-09-18 10:32:23.937,2024-09-18 10:32:23.937,0,,,,,
66eaac3859f552ae11a0999f,Universidad Científica del Sur ,Arquitectura y Urbanismo Ambiental ,9/04/2020,10/04/2025,Bachelor,False,66ba1c99db5c98b2ee73ef06,2024-09-18 10:32:24.787,2024-09-18 10:32:24.787,0,,,,,
66eaac3859f552ae11a099a2,Asociación Cultural Peruano Británico ,Inglés Británico ,16/03/2021,18/05/2024,Certificate,False,66ba1c99db5c98b2ee73ef06,2024-09-18 10:32:24.787,2024-09-18 10:32:24.787,0,,,,,
66eaac3859f552ae11a099a0,Grupo Galk,Renderizado en Vr 6 y Lumion ,20/10/2020,30/11/2020,Certificate,False,66ba1c99db5c98b2ee73ef06,2024-09-18 10:32:24.787,2024-09-18 10:32:24.787,0,,,,,
66eaac3859f552ae11a099a1,Trazzo Visual,Diagramación de paneles Arquitectónicos ,13/04/2020,13/05/2020,Certificate,False,66ba1c99db5c98b2ee73ef06,2024-09-18 10:32:24.787,2024-09-18 10:32:24.787,0,,,,,
66eaac3959f552ae11a099bb,IDAT,Excel Intermedio ,Enero de 2021,Marzo de 2021,Other,False,66ba1c9cdb5c98b2ee73ef41,2024-09-18 10:32:25.480,2024-09-18 10:32:25.480,0,,,,,
66eaac3959f552ae11a099ba,Universidad científica del Sur ,Ingeniería económica y de Negocios ,Marzo de 2020,Agosto de 2025,Bachelor,False,66ba1c9cdb5c98b2ee73ef41,2024-09-18 10:32:25.480,2024-09-18 10:32:25.480,0,,,,,
66eaac3959f552ae11a099bc,Universidad Nacional de Ingeniería ,S10 Costos y Presupuestos ,Setiembre de 2022,Octubre de 2022,Certificate,False,66ba1c9cdb5c98b2ee73ef41,2024-09-18 10:32:25.480,2024-09-18 10:32:25.480,0,,,,,
66eaac3959f552ae11a099bf,Campus Romero,Excel Avanzado (Dashboards en Excel  y Creación de Macros),7 de Marzo de 2024,,Certificate,False,66ba1c9cdb5c98b2ee73ef41,2024-09-18 10:32:25.480,2024-09-18 10:32:25.480,0,,,,,
