_id_postulante,carrera_principal,area_profesional,nivel_educativo
66ba1b38db5c98b2ee73e543,Power BI Básico,Otros,Certificado
66ba1b38db5c98b2ee73e543,PROFESOR,Otros,Otros
66ba1b38db5c98b2ee73e543,S.A.CÓDIGO: F80CD297,Otros,Otros
66ba1b38db5c98b2ee73e543,Ingeniería Empresarial y de Sistemas,Ingeniería y Tecnología,Bachiller
66ba1b38db5c98b2ee73e543,Inglés,Ciencias Sociales y Humanidades,Certificado
66ba1b38db5c98b2ee73e543,Scrum Fundamentals Certified,Otros,Certificado
66ba1b38db5c98b2ee73e543,POWER BI - Ofimática Avanzada - Portugués Básico,Otros,Certificado
66ba1b38db5c98b2ee73e543,Curso de Capacitación SQL SERVER,Otros,Certificado
66ba1b38db5c98b2ee73e543,Cursos,Otros,Otros
66ba1b38db5c98b2ee73e543,Microsoft Excel,Otros,Diplomado
66ba1b38db5c98b2ee73e543,Ingeniería Empresarial y de Sistemas,Ingeniería y Tecnología,Bachiller
66ba1b38db5c98b2ee73e543,Curso de Capacitación Implementación de Base de Datos Primer Nivel SQL SERVER,Otros,Certificado
66ba1b38db5c98b2ee73e543,"Design Thinking, Método Harvard de Negociación, Social Media Marketing, Transformación Digital",Administración y Negocios,Certificado
66ba1b38db5c98b2ee73e543,Data Analytics,Otros,Certificado
66ba1b38db5c98b2ee73e543,Power BI (Básico - Intermedio - Avanzado),Otros,Certificado
66ba1b38db5c98b2ee73e543,Scrum Fundamentals Certified,Otros,Certificado
66ba1b38db5c98b2ee73e543,Microsoft Excel,Otros,Diplomado
66ba1b38db5c98b2ee73e543,Inglés (Básico-Intermedio-Avanzado),Ciencias Sociales y Humanidades,Certificado
66ba1c0bdb5c98b2ee73e83a,Psicología,Ciencias Sociales y Humanidades,Bachiller
66ba1c0bdb5c98b2ee73e83a,Educación Secundaria,Ciencias Sociales y Humanidades,Otros
66ba1c0bdb5c98b2ee73e83a,Inglés Intermedio-Avanzado,Ciencias Sociales y Humanidades,Otros
66ba1c0bdb5c98b2ee73e83a,Primaria,Otros,Otros
66ba1c0bdb5c98b2ee73e83a,Educación Secundaria,Ciencias Sociales y Humanidades,Otros
66ba1bfbdb5c98b2ee73e7ff,Administracion de empresas,Administración y Negocios,Bachiller
66ba1bcfdb5c98b2ee73e70a,Derecho,Ciencias Sociales y Humanidades,Bachiller
66ba1bcfdb5c98b2ee73e70a,Estudiante secundario,Otros,Otros
66ba1bcfdb5c98b2ee73e70a,Estudiante primario,Otros,Otros
66ba1bcfdb5c98b2ee73e70a,Estudiante de idomas,Otros,Otros
66ba1b4edb5c98b2ee73e589,Estomatologia,Otros,Bachiller
66ba1b6cdb5c98b2ee73e5eb,Administración de Negocios Internacionales  - tercio superior,Administración y Negocios,Bachiller
66ba1b5bdb5c98b2ee73e5b3,Administración de Negocios Internacionales,Administración y Negocios,Bachiller
66ba1b66db5c98b2ee73e5e3,Administração,Otros,Bachiller
66ba1b66db5c98b2ee73e5e3,Inglés,Ciencias Sociales y Humanidades,Diplomado
66ba1b66db5c98b2ee73e5e3,Administración de Empresas,Administración y Negocios,Bachiller
66ba1b66db5c98b2ee73e5e3,Informática,Ingeniería y Tecnología,Diplomado
66ba1b66db5c98b2ee73e5e3,Técnico en Administración,Administración y Negocios,Diplomado
66ba1c03db5c98b2ee73e81f,Facultad de Ciencias de la Salud. Psicología.,Ciencias Sociales y Humanidades,Otros
66ba1bf8db5c98b2ee73e7e1,Administración de empresas,Administración y Negocios,Bachiller
66ba1bf8db5c98b2ee73e7e1,Administración de empresas,Administración y Negocios,Bachiller
66ba1bf8db5c98b2ee73e7e1,liderazgo empresarial,Otros,Certificado
66ba1bf8db5c98b2ee73e7e1,Power BI,Otros,Certificado
66ba1b60db5c98b2ee73e5cb,Marketing y administración,Administración y Negocios,Otros
66ba1b60db5c98b2ee73e5cb,Administración Bancaria,Administración y Negocios,Bachiller
66ba1bb3db5c98b2ee73e6ac,Derecho,Ciencias Sociales y Humanidades,Otros
66ba1bb3db5c98b2ee73e6ac,Quimica Farmaceutica y Bioquimica,Ciencias,Diplomado
66ba1bb3db5c98b2ee73e6ac,Redacción Jurídica en tema Civil,Ingeniería y Tecnología,Otros
66ba1b3ddb5c98b2ee73e556,Ingeniería Empresarial y de sistemas,Ingeniería y Tecnología,Bachiller
66ba1b3ddb5c98b2ee73e556,Educación Secundaria,Ciencias Sociales y Humanidades,Diplomado
66ba1b3ddb5c98b2ee73e556,Educación Secundaria,Ciencias Sociales y Humanidades,Diplomado
66ba1c39db5c98b2ee73e9a3,Psicología,Ciencias Sociales y Humanidades,Bachiller
66ba1bf9db5c98b2ee73e7e7,Psicologia,Ciencias Sociales y Humanidades,Bachiller
66ba1bf9db5c98b2ee73e7e7,Metodology for EFL teachers,Otros,Certificado
66ba1bf9db5c98b2ee73e7e7,Ingles Avanzado,Ciencias Sociales y Humanidades,Certificado
66ba1c5adb5c98b2ee73ebc6,Arquitectura y Urbanismo Ambiental,Ingeniería y Tecnología,Bachiller
66ba1c5adb5c98b2ee73ebc6,Diagramación de Paneles,Otros,Diplomado
66ba1c5adb5c98b2ee73ebc6,Adobe Photoshop,Otros,Diplomado
66ba1c5adb5c98b2ee73ebc6,Inglés Británico Avanzado,Ciencias Sociales y Humanidades,Certificado
66ba1c5adb5c98b2ee73ebc6,Gestión de Proyectos Sostenibles,Administración y Negocios,Certificado
66ba1c60db5c98b2ee73ec30,Educación Secundaria,Ciencias Sociales y Humanidades,Otros
66ba1c60db5c98b2ee73ec30,Arquitectura y Urbanismo Ambiental,Ingeniería y Tecnología,Bachiller
66ba1b43db5c98b2ee73e55e,Derecho,Ciencias Sociales y Humanidades,Bachiller
66ba1b43db5c98b2ee73e55e,Gestión pública y contrataciones con el estado,Administración y Negocios,Diplomado
66ba1b43db5c98b2ee73e55e,"Derecho penal, parte general y parte especial con mención en lavado de activos, narcotráfico, extinción de dominio y compliance",Ciencias Sociales y Humanidades,Diplomado
66ba1b43db5c98b2ee73e55e,Código procesal civil y litigación oral,Ingeniería y Tecnología,Diplomado
66ba1b43db5c98b2ee73e55e,"Violencia familiar, de género y delitos sexuales",Otros,Diplomado
66ba1c8edb5c98b2ee73eea5,Arquitectura y Urbanismo Ambiental,Ingeniería y Tecnología,Bachiller
66ba1c8edb5c98b2ee73eea5,Inglés Británico,Ciencias Sociales y Humanidades,Certificado
66ba1c8edb5c98b2ee73eea5,Renderizado en Vr 6 y Lumion,Otros,Certificado
66ba1c8edb5c98b2ee73eea5,Diagramación de paneles Arquitectónicos,Otros,Certificado
66ba1b57db5c98b2ee73e5a1,Excel Intermedio,Otros,Otros
66ba1b57db5c98b2ee73e5a1,Ingeniería económica y de Negocios,Ingeniería y Tecnología,Bachiller
66ba1b57db5c98b2ee73e5a1,S10 Costos y Presupuestos,Otros,Certificado
66ba1b57db5c98b2ee73e5a1,Excel Avanzado (Dashboards en Excel  y Creación de Macros),Otros,Certificado
66ba1b57db5c98b2ee73e5a1,"Charla ""Inversión en Fondos Mutuos""",Otros,Otros
66ba1b57db5c98b2ee73e5a1,Moneda Digital - BCRP,Otros,Otros
66ba1b57db5c98b2ee73e5a1,Conversatorio “El mercado de valores y el rol de la SMV ”,Otros,Otros
66ba1c99db5c98b2ee73ef0b,Psicología,Ciencias Sociales y Humanidades,Bachiller
66ba1ca1db5c98b2ee73ef6f,Estudiante del 6to ciclo de la carrera de Marketing y Administración.,Administración y Negocios,Bachiller
66ba1ca1db5c98b2ee73ef6f,Estudiante de inglés en nivel básico.,Ciencias Sociales y Humanidades,Otros
66ba1ca2db5c98b2ee73ef9b,MARKETING Y ADMINISTRACIÓN,Administración y Negocios,Bachiller
66ba1bb4db5c98b2ee73e6bf,Bachiller en Ingeniería económica y de negocios | Tercio superior,Ingeniería y Tecnología,Bachiller
66ba1b80db5c98b2ee73e625,Ingeniería Agroforestal,Ingeniería y Tecnología,Bachiller
66ba1b80db5c98b2ee73e625,,,
66ba1cb8db5c98b2ee73f06e,Marketing y Administración,Administración y Negocios,Bachiller
66ba1cb8db5c98b2ee73f06e,Estudiante de idiomas,Otros,Otros
66ba1cb8db5c98b2ee73f06e,Estudiante secundario,Otros,
66ba1b80db5c98b2ee73e625,,,
66ba1b80db5c98b2ee73e625,Ingeniería Agroforestal,Ingeniería y Tecnología,Bachiller
66ba1e4fdb5c98b2ee73fad5,Estomatología,Otros,Bachiller
66ba1b5cdb5c98b2ee73e5b6,Inglés (Básico – Intermedio – Avanzado),Ciencias Sociales y Humanidades,Certificado
66ba1b5cdb5c98b2ee73e5b6,Estudiante del 6to ciclo de la carrera de Marketing y Administración,Administración y Negocios,Bachiller
66ba1b5cdb5c98b2ee73e5b6,Community Management,Administración y Negocios,
66ba1b5cdb5c98b2ee73e5b6,Content Marketing,Administración y Negocios,Certificado
66ba1b5cdb5c98b2ee73e5b6,Microsoft Excel (Básico – Intermedio),Otros,Certificado
66ba1b5cdb5c98b2ee73e5b6,Marketing Digital,Administración y Negocios,Certificado
66ba1d51db5c98b2ee73f584,Marketing y Administración (6to ciclo - tercio superior),Administración y Negocios,Bachiller
66ba1d51db5c98b2ee73f584,Curso de Diseño Gráfico Publicitario,Arquitectura y Diseño,Otros
66ba1d51db5c98b2ee73f584,Inglés Básico,Ciencias Sociales y Humanidades,Otros
66ba1e78db5c98b2ee73fcdf,Administracion y Negocios internacionales,Administración y Negocios,Otros
66ba1e78db5c98b2ee73fcdf,INGLES,Ciencias Sociales y Humanidades,Otros
66ba1e8ddb5c98b2ee73fe0c,Marketing y Administración,Administración y Negocios,Bachiller
66ba1e8ddb5c98b2ee73fe0c,Educación Secundaria,Ciencias Sociales y Humanidades,Otros
66ba1ebfdb5c98b2ee740077,Estomatología,Otros,Bachiller
66ba1ebfdb5c98b2ee740077,,,
66ba1b5cdb5c98b2ee73e5b6,Marketing y Administración,Administración y Negocios,Bachiller
66ba1b4adb5c98b2ee73e571,Ciencia política,Otros,Bachiller
66ba1b4adb5c98b2ee73e571,Ingles básico,Ciencias Sociales y Humanidades,Certificado
66ba1eeedb5c98b2ee74034e,Estomatología,Otros,Bachiller
66ba1c8cdb5c98b2ee73ee8b,Marketing y administración,Administración y Negocios,Bachiller
66ba1f79db5c98b2ee740c5f,Derecho,Ciencias Sociales y Humanidades,Bachiller
66ba1f79db5c98b2ee740c5f,Derecho,Ciencias Sociales y Humanidades,Bachiller
66ba1f79db5c98b2ee740c5f,Derecho,Ciencias Sociales y Humanidades,Bachiller
66ba1b76db5c98b2ee73e605,Ingeniería Económica y Negocios ( Quinto superior ),Ingeniería y Tecnología,Bachiller
66ba1b6cdb5c98b2ee73e5eb,Administración de Negocios Internacionales,Administración y Negocios,Bachiller
66ba2064db5c98b2ee741c21,Administración de empresas,Administración y Negocios,Bachiller
66ba1d21db5c98b2ee73f416,Estomatología,Otros,Bachiller
66ba1d21db5c98b2ee73f416,Odontología,Salud,Bachiller
66ba1b5cdb5c98b2ee73e5b6,Marketing y Administración,Administración y Negocios,Bachiller
66ba1b5cdb5c98b2ee73e5b6,,,Certificado
66ba1b5cdb5c98b2ee73e5b6,,,Certificado
66ba1b5cdb5c98b2ee73e5b6,,,Certificado
66ba1b5cdb5c98b2ee73e5b6,,,Certificado
66ba1bb4db5c98b2ee73e6bf,Bachiller en Ingeniería económica y de negocios,Ingeniería y Tecnología,Bachiller
66ba1b57db5c98b2ee73e5a1,Excel Intermedio,Otros,Certificado
66ba1b57db5c98b2ee73e5a1,Ingeniería económica y de Negocios,Ingeniería y Tecnología,Bachiller
66ba1b57db5c98b2ee73e5a1,Datos y Economía Digital: SQL y PYTHON,Economía y Finanzas,Certificado
66ba1d51db5c98b2ee73f584,Marketing y Administración,Administración y Negocios,Bachiller
66ba1b53db5c98b2ee73e599,Ingenieria economica y de negocios,Ingeniería y Tecnología,Bachiller
66ba1c8cdb5c98b2ee73ee8b,Marketing y administración,Administración y Negocios,Bachiller
66ba1b76db5c98b2ee73e605,Ingeniería Económica y Negocios (Quinto superior),Ingeniería y Tecnología,Bachiller
66ba1ca1db5c98b2ee73ef6f,Inglés (Basico),Ciencias Sociales y Humanidades,Certificado
66ba1ca1db5c98b2ee73ef6f,Marketing y Administración,Administración y Negocios,Bachiller
66ba1bf8db5c98b2ee73e7e1,liderazgo empresarial,Otros,Certificado
66ba1bf8db5c98b2ee73e7e1,Administración de empresas,Administración y Negocios,Bachiller
66ba1bf8db5c98b2ee73e7e1,Administración de empresas,Administración y Negocios,Bachiller
66ba1bf8db5c98b2ee73e7e1,Power BI,Otros,Certificado
66ba1b66db5c98b2ee73e5e3,Administração,Otros,Bachiller
66ba1b66db5c98b2ee73e5e3,Inglés,Ciencias Sociales y Humanidades,Otros
66ba1b66db5c98b2ee73e5e3,Técnico en Administración,Administración y Negocios,Diplomado
66ba1b66db5c98b2ee73e5e3,Administración de Empresas,Administración y Negocios,Certificado
66ba1b66db5c98b2ee73e5e3,Informática,Ingeniería y Tecnología,Otros
66ba1b5bdb5c98b2ee73e5b3,Administración de Negocios Internacionales,Administración y Negocios,Bachiller
66ba1b6cdb5c98b2ee73e5eb,Administración de Negocios Internacionales,Administración y Negocios,Bachiller
66ba1d51db5c98b2ee73f584,Marketing y Administración,Administración y Negocios,Bachiller
66ba1c8cdb5c98b2ee73ee8b,Marketing y administración,Administración y Negocios,Bachiller
66ba1b48db5c98b2ee73e566,Biología Marina,Ciencias,Bachiller
66ba1b48db5c98b2ee73e566,Participante,Otros,Certificado
66ba1b48db5c98b2ee73e566,Organización de SOA La Academia Latinoamericana,Otros,Certificado
66ba1b48db5c98b2ee73e566,Curso de redacción Científica,Otros,Certificado
66ba1b48db5c98b2ee73e566,Estudiante,Otros,Diplomado
66ba1b48db5c98b2ee73e566,Educación Secundaria,Ciencias Sociales y Humanidades,Otros
66ba1b48db5c98b2ee73e566,Estudiante Primaria,Otros,Otros
66ba1e4fdb5c98b2ee73fad5,Estomatología,Otros,Otros
66ba1b43db5c98b2ee73e55e,Derecho,Ciencias Sociales y Humanidades,Bachiller
66ba1b43db5c98b2ee73e55e,Gestión pública y contrataciones con el estado,Administración y Negocios,Certificado
66ba1b43db5c98b2ee73e55e,"Derecho penal, parte general y parte especial con mención en lavado de activos, narcotráfico, extinción de dominio y compliance",Ciencias Sociales y Humanidades,Certificado
66ba1b43db5c98b2ee73e55e,"Violencia familiar, de género y delitos sexuales",Otros,Certificado
66ba1b43db5c98b2ee73e55e,Código procesal civil y litigación oral,Ingeniería y Tecnología,Certificado
66ba1b4adb5c98b2ee73e571,Ciencia política,Otros,Bachiller
66ba1b4adb5c98b2ee73e571,Ingles básico,Ciencias Sociales y Humanidades,Certificado
66ba1b5bdb5c98b2ee73e5b3,Administración de Negocios Internacionales,Administración y Negocios,Bachiller
66ba1b3ddb5c98b2ee73e556,Ingeniería Empresarial y de sistemas,Ingeniería y Tecnología,
66ba1b66db5c98b2ee73e5e3,Administração,Otros,Bachiller
66ba1b66db5c98b2ee73e5e3,Técnico en Administración,Administración y Negocios,Diplomado
66ba1b66db5c98b2ee73e5e3,Administración de Empresas,Administración y Negocios,Certificado
66ba1b66db5c98b2ee73e5e3,Informática,Ingeniería y Tecnología,Otros
66ba1b66db5c98b2ee73e5e3,Inglés,Ciencias Sociales y Humanidades,Otros
66ba1b5bdb5c98b2ee73e5aa,Administración de Negocios Internacionales (Media superior),Administración y Negocios,Bachiller
66ba1c03db5c98b2ee73e81f,Psicología,Ciencias Sociales y Humanidades,Bachiller
66ba1c39db5c98b2ee73e9a3,Psicología,Ciencias Sociales y Humanidades,Bachiller
66ba1c8cdb5c98b2ee73ee8b,Marketing y administración,Administración y Negocios,Bachiller
66ba1bf8db5c98b2ee73e7e1,liderazgo empresarial,Otros,Certificado
66ba1bf8db5c98b2ee73e7e1,Administración de empresas,Administración y Negocios,Bachiller
66ba1bf8db5c98b2ee73e7e1,Administración de empresas,Administración y Negocios,Bachiller
66ba1bf8db5c98b2ee73e7e1,Power BI,Otros,Certificado
66ba1e4fdb5c98b2ee73fad5,Inglés avanzado,Ciencias Sociales y Humanidades,Certificado
66ba1e4fdb5c98b2ee73fad5,Ganadora de la beca continuidad de estudios,Otros,Certificado
66ba1e4fdb5c98b2ee73fad5,Estomatología,Otros,Otros
66ba1b4adb5c98b2ee73e571,Asistente de recursos humanos,Administración y Negocios,Certificado
66ba1b4adb5c98b2ee73e571,Ciencia política,Otros,Bachiller
66ba1b4adb5c98b2ee73e571,Ingles básico,Ciencias Sociales y Humanidades,Certificado
66ba1b57db5c98b2ee73e5a1,Excel Intermedio,Otros,Certificado
66ba1b57db5c98b2ee73e5a1,Ingeniería económica y de Negocios,Ingeniería y Tecnología,Bachiller
66ba1b57db5c98b2ee73e5a1,Datos y Economía Digital: SQL y PYTHON,Economía y Finanzas,Certificado
66ba1b76db5c98b2ee73e605,Ingeniería Económica y Negocios (Quinto superior),Ingeniería y Tecnología,Bachiller
66ba1d21db5c98b2ee73f416,Estomatología,Otros,Bachiller
66ba2064db5c98b2ee741c21,Administración de empresas,Administración y Negocios,Bachiller
66ba1b76db5c98b2ee73e605,Ingeniería Económica y Negocios (Quinto superior),Ingeniería y Tecnología,Bachiller
66ba1ebfdb5c98b2ee740077,Estomatología,Otros,Bachiller
66ba6d51db5c98b2ee746461,Estudiante de 7mo ciclo de Ingeniería Económica y de Negocios (perteneciente al tercio superior con preferencia académica),Ingeniería y Tecnología,Bachiller
66ba72dbdb5c98b2ee74669d,Medicina Veterinaria y Zootecnia,Salud,Bachiller
66ba1e8ddb5c98b2ee73fe0c,Educación Secundaria,Ciencias Sociales y Humanidades,Otros
66ba1e8ddb5c98b2ee73fe0c,Marketing y Administración,Administración y Negocios,Bachiller
66ba1e8ddb5c98b2ee73fe0c,Marketing y Administración - décimo superior,Administración y Negocios,Bachiller
66ba1e8ddb5c98b2ee73fe0c,Educación Secundaria,Ciencias Sociales y Humanidades,
66ba1f22db5c98b2ee740646,Estomatología,Otros,Bachiller
66ba1f22db5c98b2ee740646,Ingles Básico,Ciencias Sociales y Humanidades,Certificado
66ba28f1db5c98b2ee745df9,Ingenieria de Sistemas Empresariales,Ingeniería y Tecnología,Otros
66ba28f1db5c98b2ee745df9,Ingles,Ciencias Sociales y Humanidades,Otros
66ba28f1db5c98b2ee745df9,Excel,Otros,Certificado
66ba28f1db5c98b2ee745df9,Power BI,Otros,Otros
66ba28f1db5c98b2ee745df9,SAP,Otros,Certificado
66ba9ff7db5c98b2ee747889,Derecho,Ciencias Sociales y Humanidades,Bachiller
66ba1c99db5c98b2ee73ef0b,Psicología,Ciencias Sociales y Humanidades,Bachiller
66ba1c99db5c98b2ee73ef0b,Técnico Enfermería,Salud,Bachiller
66ba1c99db5c98b2ee73ef0b,Especialidad en Radiología Bucal y Maxilofacial,Otros,Certificado
66ba1c99db5c98b2ee73ef0b,Curso de Protección Radiológica Médica y Dental,Otros,Certificado
66ba1c99db5c98b2ee73ef0b,Técnico en Computación,Ingeniería y Tecnología,Bachiller
66ba1b80db5c98b2ee73e625,Estudiante,Otros,
66ba1b80db5c98b2ee73e625,"Ingeniería Agroforestal, quinto superior",Ingeniería y Tecnología,Bachiller
66ba1b5cdb5c98b2ee73e5b6,Marketing y Administración,Administración y Negocios,Bachiller
66ba1b5cdb5c98b2ee73e5b6,,,Certificado
66ba1b5cdb5c98b2ee73e5b6,,,Certificado
66ba1b5cdb5c98b2ee73e5b6,,,Certificado
66ba1b5cdb5c98b2ee73e5b6,,,Certificado
66baad5fdb5c98b2ee7480ab,MicroMaster Statistics and Data Science,Ingeniería y Tecnología,Otros
66baad5fdb5c98b2ee7480ab,CURSO ESPECIALIZADO: GESTIÓN Y MEJORA DE PROCESOS,Administración y Negocios,Certificado
66baad5fdb5c98b2ee7480ab,CURSO DE ESPECIALIZACIÓN: GESTIÓN DE PROYECTOS PRINCIPIOS Y PRÁCTICAS,Administración y Negocios,Certificado
66baad5fdb5c98b2ee7480ab,Ingeniería Mecatrónica,Ingeniería y Tecnología,Bachiller
66baad5fdb5c98b2ee7480ab,PROGRAMA DE ESPECIALIZACIÓN: BUSINESS INTELLIGENCE & BIG DATA,Otros,Certificado
66baada4db5c98b2ee748169,Estomatologia,Otros,Bachiller
66ba1b60db5c98b2ee73e5cf,Administración de Empresas,Administración y Negocios,Bachiller
66ba1b60db5c98b2ee73e5cf,Especialización en Recursos Humanos,Administración y Negocios,Diplomado
66ba1b60db5c98b2ee73e5cf,Inglés,Ciencias Sociales y Humanidades,Certificado
66ba1b60db5c98b2ee73e5cf,Excel,Otros,Diplomado
66ba1f79db5c98b2ee740c5f,Contador Público,Otros,
66ba1f79db5c98b2ee740c5f,Derecho,Ciencias Sociales y Humanidades,Otros
66ba1b5bdb5c98b2ee73e5b3,Administración de Negocios Internacionales,Administración y Negocios,Otros
66ba1b5bdb5c98b2ee73e5b3,Inglés (Básico - Intermedio - Avanzado),Ciencias Sociales y Humanidades,Certificado
66ba1b5bdb5c98b2ee73e5b3,Especialización de Branding y estrategias de marca,Otros,Certificado
66ba1b5bdb5c98b2ee73e5b3,Especialización en Design ThinKing,Arquitectura y Diseño,Certificado
66ba1b5bdb5c98b2ee73e5b3,Especialización en Data Analytics,Otros,Certificado
66babeeedb5c98b2ee749289,Diplomatura en Estudio en Methodological Principles for TEFL to Adult learners,Otros,Diplomado
66babeeedb5c98b2ee749289,Comunicación y Publicidad,Ciencias Sociales y Humanidades,Bachiller
66bac13fdb5c98b2ee7497d1,Educación Secundaria,Ciencias Sociales y Humanidades,Otros
66bac13fdb5c98b2ee7497d1,Farmacia y bioquímica,Salud,Otros
66bac13fdb5c98b2ee7497d1,Inglés americano,Ciencias Sociales y Humanidades,Otros
66bac1bedb5c98b2ee749868,Bachelor of Science in Computer Science,Otros,Bachiller
66bac1bedb5c98b2ee749868,Master of Science in Data Science,Ingeniería y Tecnología,Maestría
66bac1bedb5c98b2ee749868,PhD in Artificial Intelligence,Otros,Doctorado
66bac1bedb5c98b2ee749868,Certificate in Machine Learning,Otros,Certificado
66bac1bedb5c98b2ee749868,,,Otros
66bac1eedb5c98b2ee74997c,Estudios en ingles britanco avanzado,Ciencias Sociales y Humanidades,Certificado
66bac1eedb5c98b2ee74997c,,,Otros
66bac1eedb5c98b2ee74997c,Estudios en fotografía profesonal,Otros,Diplomado
66bac1eedb5c98b2ee74997c,Estudios en Ingeniería Ambiental,Ingeniería y Tecnología,Bachiller
66bac1eddb5c98b2ee749976,,,Bachiller
66bac1eddb5c98b2ee749976,Maestra Educación Inicial,Ciencias Sociales y Humanidades,Certificado
66bac1eddb5c98b2ee749976,Educación Secundaria,Ciencias Sociales y Humanidades,Otros
66bac1eddb5c98b2ee749976,Gestión pública,Administración y Negocios,Diplomado
66bac237db5c98b2ee749b7b,Carrera de Ingeniería Ambiental,Ingeniería y Tecnología,Bachiller
66bac237db5c98b2ee749b7b,,,
66bac237db5c98b2ee749b7b,Nivel de Inglés B1 Intermedio,Ciencias Sociales y Humanidades,Certificado
66bac1e0db5c98b2ee7498ea,Profesional Técnico en Ciencias de la Comunicación,Ciencias Sociales y Humanidades,Diplomado
66bac1e0db5c98b2ee7498ea,Estudios de Intercambio,Otros,Otros
66bac1e0db5c98b2ee7498ea,Comunicación y Publicidad,Ciencias Sociales y Humanidades,Otros
66bac1c1db5c98b2ee749870,Convalidación de carrera técnica,Otros,
66bac1c1db5c98b2ee749870,Marketing Deportivo,Administración y Negocios,Certificado
66bac1c1db5c98b2ee749870,Redacción Periodística,Otros,Certificado
66bac1c1db5c98b2ee749870,Técnico en Ciencias de la Comunicación,Ciencias Sociales y Humanidades,
66bac226db5c98b2ee749b00,Educación Secundaria,Ciencias Sociales y Humanidades,Otros
66bac226db5c98b2ee749b00,Estomatología,Otros,Bachiller
